Rotulo;Direccion;Telefono
0;Filler;600001050
4572;Filler;600001272
7267;Filler;600003235
7345;Filler;600002173
12126;Filler;600000948
12241;Filler;600001065
13344;Filler;600000613
15909;Filler;600002971
96053;Filler;600001734
41037733;Filler;600003250
45110020416;Filler;600003527
-;Filler;600000550
 AGLA;Filler;600001698
 AGRICAR;Filler;600003656
 BP  ALOD;Filler;600003468
 BP AVENIDA 3 DE MAYO;Filler;600003160
 BP BENICADELL;Filler;600003664
 BP CA SESTRELLA;Filler;600000638
 BP RAMBLA INIESTA;Filler;600000274
 BP SAN LUIS;Filler;600000635
 BP SANTIGA;Filler;600000659
 BP TACO;Filler;600003169
 BP VENTA DEL PERAL II;Filler;600001711
 CEPSA LISBOA ;Filler;600002205
 E.S. LA TORRETA;Filler;600003840
 E.S. SUR;Filler;600003835
 EL NINO COMBUSTIBLES;Filler;600002576
 EL OLIVO;Filler;600003309
 LAS GABIAS;Filler;600001720
 NUROIL;Filler;600000766
 OCTAPLUS;Filler;600003797
 REPSOL UBEDA;Filler;600002041
 SUTULLENA-CEPSA;Filler;600002545
 T. ALBERO;Filler;600000219
"""BP""";Filler;600001059
"""BP"" ROTONDA LAS VAGUADAS S.L.";Filler;600000517
"""BP""BEGUR";Filler;600001606
"""BP""PROPERLY, S.A.";Filler;600001642
"""SAN ISIDRO LABRADOR""SOC.COOP.CLM";Filler;600001557
(SIN ROTULO);Filler;600000154
*;Filler;600003579
******;Filler;600000486
_;Filler;600002345
|> ENERTRIX <|;Filler;600003914
06/32718;Filler;600000601
161100-09363;Filler;600001524
1PRIMER;Filler;600000720
23ESO68F;Filler;600001941
24H;Filler;600002480
2OIL - BI OIL;Filler;600001579
3 PUNT TRES;Filler;600000815
395 2/2HS 40-80;Filler;600003279
3GS COMBUSTIBLES ;Filler;600001118
686 TLP;Filler;600000874
A CHAN DE AMOEDO;Filler;600002985
A PALMEIRA;Filler;600002988
A&A;Filler;600000022
A&B ;Filler;600003326
A. G. ;Filler;600000424
A.AGUAZA;Filler;600001708
A.ESTELA;Filler;600000208
A.N. ENERGETICOS - LOS ARCOS;Filler;600002658
A.N. ENERGETICOS, S.L - PERALTA;Filler;600002746
A.N. ENERGETICOS-ALDEANUEVA;Filler;600003018
A.N. GLUS;Filler;600003195
A.O. LOW COST;Filler;600000723
A.S LA ESTACION-AGLA;Filler;600003241
A.S. EL ARTINERO;Filler;600000295
A.S. LA ESTACION DE ESPINOSA;Filler;600000901
A2D;Filler;600003300
A-3;Filler;600003774
ABEN-CALEZ;Filler;600001350
ABIERTO (SERVICIO ATENDIDO);Filler;600000186
ABOIL;Filler;600000006
ABOS;Filler;600000848
ABYCER;Filler;600002674
ACEITES ALGARINEJO SCA;Filler;600001680
ACEITES GUADALQUIVIR;Filler;600002046
ACEITES LOS ROMANES;Filler;600002456
ACEITUNERA GRANADILLA;Filler;600000938
ACEVIN;Filler;600003526
ADELFAS;Filler;600003024
ADISADI VELEZ;Filler;600002366
ADRIDAN;Filler;600002507
ADS;Filler;600000385
AGIP;Filler;600002741
AGLA;Filler;600000326
AGLA  ;Filler;600003354
AGLA - E.S. EL CERRO;Filler;600003284
AGLA - E.S.VISTA HEMOSA;Filler;600002354
AGLA - HNOS MARTIN;Filler;600002438
AGLA - PETROUVE;Filler;600003293
AGLA AZNALCAZAR;Filler;600003222
AGLA E.S. CRUCE LOS PALOS;Filler;600000341
AGLA EL ROCIO DE NAGUELES;Filler;600002410
AGLA LA VENTILLA;Filler;600002424
AGLA PETROLEROS MIJAS;Filler;600002417
AGLA SAN FRANCISCO;Filler;600001754
AGLA, ES AGROENERGETICA LG;Filler;600003227
AGLA-ES VIRGEN DE CUADROS;Filler;600001961
AGRARIA COMARCAL ORDES SCG;Filler;600001460
AGRARIA DE MIRALCAMP;Filler;600002134
AGRARIA DEL TURON;Filler;600002362
AGRECA,S.C.A;Filler;600003232
AGRICOLA CARMONENSE S.C.A.;Filler;600003246
AGRICOLA DE EL RUBIO S.C.A.;Filler;600003330
AGRICOLA HORCAJO MANCHEGA;Filler;600001520
AGRICOLA LA CEPA S. COOP. DE C-LM;Filler;600001518
AGRICOLA LA CEPA SDAD. COOP. DE CLM;Filler;600001489
AGRICOLA SAN BLAS;Filler;600002747
AGRICOLA SAN ISIDRO;Filler;600003719
AGRICOLA SAN JOSE ALCASSER COOP.V.;Filler;600003615
AGRICOLA SERRA TURIA S. COOP. DE C-LM;Filler;600001556
AGRICOLA TRESJUNCOS S. COOP. DE C-LM;Filler;600001565
AGRICOOP;Filler;600000110
AGRIMARTIN;Filler;600003454
AGRINZA;Filler;600003932
AGRO DIESEL 10E;Filler;600001330
AGRO DO FORNO;Filler;600001469
AGROBORJA;Filler;600001354
AGROCANTABRIA;Filler;600001077
AGROCOMERCIAL HIGUERA ;Filler;600003200
AGRODUERO S. COOP. LTDA.;Filler;600003917
AGROIRIS, S.A.T.;Filler;600000299
AGRO-OLIVARERA NTRA. SRA. DE LA CABEZA, S. C. A.;Filler;600001709
AGRO-OLIVARERA RIOGORDO;Filler;600002430
AGROOLIVARERA SAN COSME Y SAN DAMIAN, S.C.A.;Filler;600002353
AGROPAL;Filler;600002794
AGROPECUARIA;Filler;600001908
AGROPECUARIA DE JUNEDA;Filler;600002121
AGROPECUARIA DE PEDROCHE;Filler;600001376
AGROPECUARIA SANTO CRISTO,S.COOP. DE C-LM;Filler;600003539
AGROPIENSO;Filler;600001903
AGROPONIENTE;Filler;600000307
AGROSERVEIS;Filler;600002092
AGROTER SAT  N 1936;Filler;600002539
AGROVALDES, S. C. L. ;Filler;600000461
AGROVALDES.SOC.COOP.A.LIM;Filler;600000462
AGROVIC ALIMENTACION, S.A.;Filler;600002126
AGRUPACION COOP. VALLE DEL JERTE;Filler;600000968
AGUDO GASOLEOS;Filler;600003474
AIRA;Filler;600002160
AIRA OIL;Filler;600002166
AIRA SILLEDA;Filler;600002999
AIREMAR I;Filler;600002581
AIREMAR II;Filler;600002610
AIRPORT GRANADA;Filler;600001795
ALAMEDA;Filler;600001809
ALAMEDA EXPRESS;Filler;600001821
ALAMEDA EXPRESS AREA;Filler;600001820
ALAS;Filler;600003387
ALAS - PORT CALAFAT;Filler;600004069
ALAS CENTRAL;Filler;600003420
ALAVESA;Filler;600000394
ALAZAN FRESH LINE S.L.;Filler;600002477
ALCAMPO;Filler;600000005
ALCAMPO FERROL;Filler;600001446
ALCAMPO FUENLABRADA;Filler;600002232
ALCAMPO IRUN;Filler;600001591
ALCAMPO MOTRIL;Filler;600001766
ALCAMPO S.A.;Filler;600003347
ALCAMPO VIGO;Filler;600003006
ALCAMPO, S.A.;Filler;600003618
ALCORCI COOPERATIVA DE LABRADORES;Filler;600003430
ALCOROIL S.L.;Filler;600003303
ALCUDIAMAR;Filler;600004040
ALDEAHERMOSA OIL,SL;Filler;600002011
ALFA ENERGY;Filler;600003945
ALHAMBRA-BLANCA ;Filler;600002270
ALIARA ENERGIA;Filler;600000567
ALIARA ENERGIA ;Filler;600001822
ALIARA ENERGIA GNV;Filler;600000925
ALIJA ENERGIA;Filler;600002049
ALIMER;Filler;600002537
ALIMERKA;Filler;600000459
ALKARTASUNA USURBILGO BASERRITARREN KOOPERATIBA;Filler;600001602
