Provincia;Municipio;Localidad
ALBACETE;ABENGIBRE;ABENGIBRE
ALBACETE;ALBACETE;ALBACETE
ALBACETE;ALBACETE;SANTA ANA
ALBACETE;ALBACETE;SALOBRAL (EL)
ALBACETE;ALCADOZO;ALCADOZO
ALBACETE;ALCALA DEL JUCAR;ALCALA DEL JUCAR
ALBACETE;ALCARAZ;ALCARAZ
ALBACETE;ALCARAZ;JARDIN (EL)
ALBACETE;ALMANSA;ALMANSA
ALBACETE;ALPERA;ALPERA
ALBACETE;BALAZOTE;BALAZOTE
ALBACETE;BARRAX;BARRAX
ALBACETE;BIENSERVIDA;BIENSERVIDA
ALBACETE;BONETE;BONETE
ALBACETE;BONILLO (EL);BONILLO (EL)
ALBACETE;CASAS DE JUAN NUNEZ;CASAS DE JUAN NUNEZ
ALBACETE;CASAS DE VES;CASAS DE VES
ALBACETE;CASAS-IBANEZ;CASAS-IBANEZ
ALBACETE;CAUDETE;CAUDETE
ALBACETE;CENIZATE;CENIZATE
ALBACETE;CHINCHILLA DE MONTE-ARAGON;CHINCHILLA DE MONTE-ARAGO
ALBACETE;CHINCHILLA DE MONTE-ARAGON;POZO BUENO
ALBACETE;CHINCHILLA DE MONTE-ARAGON;VILLAR DE CHINCHILLA
ALBACETE;ELCHE DE LA SIERRA;ELCHE DE LA SIERRA
ALBACETE;FUENTE-ALAMO;FUENTE-ALAMO
ALBACETE;FUENTEALBILLA;FUENTEALBILLA
ALBACETE;GINETA (LA);GINETA (LA)
ALBACETE;GOLOSALVO;GOLOSALVO
ALBACETE;HELLIN;HELLIN
ALBACETE;HELLIN;ISSO
ALBACETE;HIGUERUELA;HIGUERUELA
ALBACETE;HOYA-GONZALO;HOYA-GONZALO
ALBACETE;LETUR;LETUR
ALBACETE;LEZUZA;LEZUZA
ALBACETE;MADRIGUERAS;MADRIGUERAS
ALBACETE;MAHORA;MAHORA
ALBACETE;MINAYA;MINAYA
ALBACETE;MONTEALEGRE DEL CASTILLO;MONTEALEGRE DEL CASTILLO
ALBACETE;MUNERA;MUNERA
ALBACETE;NAVAS DE JORQUERA;NAVAS DE JORQUERA
ALBACETE;NERPIO;NERPIO
ALBACETE;ONTUR;ONTUR
ALBACETE;OSSA DE MONTIEL;OSSA DE MONTIEL
ALBACETE;PENAS DE SAN PEDRO;PENAS DE SAN PEDRO
ALBACETE;PETROLA;PETROLA
ALBACETE;POZO CANADA;POZO CANADA
ALBACETE;POZOHONDO;POZOHONDO
ALBACETE;POZOHONDO;NAVA DE ABAJO
ALBACETE;POZO-LORENTE;POZO-LORENTE
ALBACETE;POZUELO;POZUELO
ALBACETE;RIOPAR;RIOPAR
ALBACETE;ROBLEDO;ROBLEDO
ALBACETE;RODA (LA);RODA (LA)
ALBACETE;SOCOVOS;SOCOVOS
ALBACETE;TARAZONA DE LA MANCHA;TARAZONA DE LA MANCHA
ALBACETE;TOBARRA;TOBARRA
ALBACETE;VALDEGANGA;VALDEGANGA
ALBACETE;VILLALGORDO DEL JUCAR;VILLALGORDO DEL JUCAR
ALBACETE;VILLAMALEA;VILLAMALEA
ALBACETE;VILLAPALACIOS;VILLAPALACIOS
ALBACETE;VILLARROBLEDO;VILLARROBLEDO
ALBACETE;YESTE;YESTE
ALICANTE;AGOST;AGOST
ALICANTE;ALBATERA;ALBATERA
ALICANTE;ALCALALI;ALCALALI
ALICANTE;ALCOY/ALCOI;ALCOY/ALCOI
ALICANTE;ALFAS DEL PI (L');ALFAS DEL PI (L')
ALICANTE;ALGORFA;ALGORFA
ALICANTE;ALGUENA;ALGUENA
ALICANTE;ALICANTE/ALACANT;ALICANTE/ALACANT
ALICANTE;ALICANTE/ALACANT;SANTA FAZ
ALICANTE;ALICANTE/ALACANT;BACAROT (EL)
ALICANTE;ALICANTE/ALACANT;FONT-CALENT
ALICANTE;ALICANTE/ALACANT;MORALET
ALICANTE;ALMORADI;ALMORADI
ALICANTE;ALTEA;ALTEA
ALICANTE;ALTEA;ALTEA LA VELLA
ALICANTE;ASPE;ASPE
ALICANTE;BANYERES DE MARIOLA;BANYERES DE MARIOLA
ALICANTE;BENEIXAMA;BENEIXAMA
ALICANTE;BENEJUZAR;BENEJUZAR
ALICANTE;BENIDORM;BENIDORM
ALICANTE;BENIJOFAR;BENIJOFAR
ALICANTE;BENISSA;BENISSA
ALICANTE;BENITACHELL/POBLE NOU DE BENITATXELL (EL);BENITACHELL
ALICANTE;BIAR;BIAR
ALICANTE;BIGASTRO;BIGASTRO
ALICANTE;BUSOT;BUSOT
ALICANTE;CALLOSA DE SEGURA;CALLOSA DE SEGURA
ALICANTE;CALLOSA D'EN SARRIA;CALLOSA D'EN SARRIA
ALICANTE;CALPE/CALP;CALPE
ALICANTE;CAMPELLO (EL);CAMPELLO (EL)
ALICANTE;CANADA;CANADA
ALICANTE;CASTALLA;CASTALLA
ALICANTE;CATRAL;CATRAL
ALICANTE;COCENTAINA;COCENTAINA
ALICANTE;COX;COX
ALICANTE;CREVILLENT;CREVILLENT
ALICANTE;DENIA;DENIA
