Localidad;Codigo postal;Direccion;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasoleo A;Precio gasoleo B;Precio gasoleo de uso maritimo;Rotulo;Tipo venta;Rem.;Horario
ALICANTE/ALACANT;3001;MUELLE 8, ZONA DE LEVANTE, S/N;-0,481472;38,339167;1,699;;1,669;;;MARINA ALICANTE;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-21:00
ALTEA;3590;PUERTO DEPORTIVO LUIS CAMPOMANES, S/N - PARTIDA MASCARAT;-0,003833;38,629556;1,89;;1,785;;;NO HAY;Suministro a barcos deportivos o de recreo;dm;M-D: 10:00-18:00
CALPE;3710;EXPLANADA DEL PUERTO PESQUERO S/N;0,069162;38,637313;;;;946;;COFRADIA DE PESCADORES DE CALPE;Mixto;dm;"L-V: 08:00-13:30 y 15:30-19:30; S: 09:00-13:00"
DENIA;3700;PUERTO PESQUERO DE DENIA S/N;0,113056;38,843611;;;;;870;NO HAY;Suministro a pesqueros;dm;L-V: 08:00-13:00 y 16:30-19:30
DENIA;3700;DARSENA DE BABOR S/N PUERTO DE DENIA;0,119139;38,567556;1,909;;1,829;;;MARINA DE DENIA S.A;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
JAVEA/XABIA;3730;BURDEOS, 1;0,186222;38,775722;1,987;;;;;NOU FONTANA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
DEHESA DE CAMPOAMOR;3192;CALDERON DE LA BARCA, 2;-0,730588;37,910535;1,8;;1,75;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-14:00 y 16:00-21:00
SANTA POLA;3130;MUELLE NORTE S/N PUERTO DEPORTIVO 2;-0,560556;38,189306;1,645;;1,585;;;MARINA MIRAMAR;Mixto;dm;L-D: 24H
SANTA POLA;3130;ZONA PORTUARIA, 35;-0,558583;38,187389;1,525;;1,455;;850;COFRADIA DE PESCADORES;Mixto;dm;L-V: 09:00-13:00 y 16:00-20:00
TORREVIEJA;3181;P  VISTALEGRE SN, DIQUE DE LEVANTE;-0,682222;37,972833;1,749;;1,715;;;MARINA SALINAS DE TORREVIEJA;Suministro a barcos deportivos o de recreo;dm;L-D: 07:00-20:30
VILLAJOYOSA / VILA JOIOSA (LA);3570;PUERTO PESQUERO;-0,218833;38,506306;1,659;;1,549;;808;COFRADIA;Mixto;dm;"L-V: 08:00-21:00; S-D: 08:00-15:00"
CARBONERAS;4140;MUELLE PESQUERO DE CARBONERAS, S/N ;-1,897068;36,991802;1,686;;1,736;753;;REPSOL;Mixto;OM;L-D: 24H
GARRUCHA;4630;PUERTO PESQUERO, S/N ;-1,819013;37,181802;1,686;;1,736;753;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
SAN JOSE;4118;C/ DEL PUERTO, S7N ;-2,102694;36,762222;1,79;;1,82;;;GALP;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 15:00-19:00
GIJON;33201;EDIFICIO ANTIGUA RULA C/CLAUDIO ALVARGONZALEZ S/N;-5,666444;43,546472;1,859;;1,814;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-16:30
