Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasolina 95 E5 Premium;Precio gasolina 98 E5;Precio gasolina 98 E10;Precio gasóleo A;Precio gasóleo Premium;Precio gasóleo B;Precio gasóleo C;Precio bioetanol;Precio biodiésel;Precio gases licuados del petróleo;Precio gas natural comprimido;Precio gas natural licuado;Precio hidrógeno;% bioalcohol;% éster metílico;Rótulo;Tipo venta;Rem.;Horario;Tipo servicio;
CADREITA;31515;EXTRAMUROS S/N;N;-1,686472;42,217667;13/11/2023 16:31;;;;;;;;1,245;;;;;;;;;;(SIN ROTULO);R;dm;L-D: 24H;L-D: 24H (A);
SOLANA (LA);13240;CALLE COOPERATIVAS, 2;D;-3,249639;38,944722;10/11/2023 10:30;;;;;;;;1,15;;;;;;;;;;(SIN ROTULO);R;dm;L-S: 07:30-14:30 y 16:00-19:30;L-S: 07:30-14:30 (A), 16:00-19:30 (A);
CAMAS;41900;CARRETERA EXTREMADURA KM. 28;D;-6,035972;37,415194;14/11/2023 14:00;1,544;;;1,844;;1,494;;;;;;0,934;;;;;;(SIN ROTULO);P;dm;L-D: 24H;L-D: 24H (A);
MONTERROSO;27560;AVENIDA DE LA CORUNA,, 19;I;-7,838278;42,793889;15/11/2023 0:00;1,659;;;;;1,639;;1,379;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 07:00-00:00;L-D: 07:00-00:00 (A);
MIAJADAS;10100;AVENIDA DE LOS GREMIOS, 15,17;D;-5,919222;39,141778;13/11/2023 9:32;;;;;;;;1,149;;;;;;;;;;(SIN ROTULO);R;dm;L-D: 24H;L-D: 24H (A);
MALIANO;39600;AVENIDA TORNADA, S/N;N;-3,804917;43,434694;13/11/2023 19:53;1,66;;;;;1,62;;;;;;;;;;;;(SIN ROTULO);P;dm;"L-S: 09:00-14:00 y 16:30-18:30; D: 09:00-14:00";"L-S: 09:00-14:00 (P), 16:30-18:30 (P); D: 09:00-14:00 (P)";
ZAHINOS;6129;CARRETERA HIGUERA DE VARGAS KM. 1,3;D;-6,957583;38,336056;08/11/2023 20:07;;;;;;1,489;;1,139;;;;;;;;;;(SIN ROTULO);P;dm;L: 06:30-22:30;L: 06:30-22:30 (A);
CALVELO;36120;CALLE TENORIO, 1;D;-8,570861;42,4535;14/11/2023 10:32;1,639;;;1,771;;1,659;1,769;;;;;;;;;;;(SIN ROTULO);P;dm;"L-S: 07:00-22:30; D: 08:00-22:30";Sin datos;
HUETOR-SANTILLAN;18183;AUTOVIA A-92 KM. 256;D;-3,497222;37,233889;15/11/2023 0:00;1,609;;;1,729;;1,639;1,709;;;;;;;;;;;(SIN ROTULO);P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A);
CASARICHE;41580;CARRETERA DE ESTEPA, 19;D;-4,764528;37,295972;13/11/2023 14:21;;;;;;1,49;;1,12;;;;;;;;;;(SIN ROTULO);R;dm;L-D: 06:00-10:00;L-D: 06:00-10:00 (A);
